business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
mimcorporation,Color Icon 10 Pan Eyeshadow Palette   (Comfort Zone),Piece,1,wet-n-wild,health-and-beauty-1,makeup,,620,0,,,,,"health-and-beauty-1,makeup",5,,10080,250,1,,active,"<p>permanent palette that features earthy neutrals from red-toned browns to smoky browns to pops of green and teal. The formula has a softer, drier consistency compared to the original Comfort Zone palette, where the shimmers felt plusher and had better adhesion and color payoff. I do find the reformulated mattes to have better performance on the lid, though, with respect to blendability and pigmentation.</p>",,,,,,
mimcorporation,Color Icon 10 Pan Eyeshadow Palette   (Stop Playing Safe),Piece,1,wet-n-wild,health-and-beauty-1,makeup,,620,0,,,,,"health-and-beauty-1,makeup",5,,10080,250,1,,active,"<p>Bold, neutral, stand out or blend in- it is your choice! Our Color Icon Eyeshadow 10-Pan Palette offers four fabulous eyeshadow pans featuring 10 coveted shades in each. Let your inner makeup artist free and design sultry, glimmering or subtle looks that last all day and night!</p>
<ul>
<li>Powerfully pigmented, butter-soft formula glides on easily</li>
<li>Easy to blend formula - can be used wet or dry hours</li>
<li>Comes in a mix of coveted colors, from shimmery daytime hues to sultry shades for cocktail&mdash;including matte transitional shades for impeccable blending</li>
</ul>",,,,,,
mimcorporation,Color Icon 10 Pan Eyeshadow Palette   (V.I.Purple),Piece,1,wet-n-wild,health-and-beauty-1,makeup,,620,0,,,,,"health-and-beauty-1,makeup",5,,10080,250,1,,active,"""<p>Bold, neutral, stand out or blend in- it is your choice! Our Color Icon Eyeshadow 10-Pan Palette offers four fabulous eyeshadow pans featuring 10 coveted shades in each. Let your inner makeup artist free and design sultry, glimmering or subtle looks that last all day and night!</p>
<ul>
<li>Powerfully pigmented, butter-soft formula glides on easily</li>
<li>Easy to blend formula - can be used wet or dry hours</li>
<li>Comes in a mix of coveted colors, from shimmery daytime hues to sultry shades for cocktail&mdash;including matte transitional shades for impeccable blending</li>
</ul>""",,,,,,
mimcorporation,Color Icon 10 Pan Eyeshadow Palette  (Cosmic Collision),Piece,1,wet-n-wild,health-and-beauty-1,makeup,,620,0,,,,,"health-and-beauty-1,makeup",5,,10080,250,1,,active,"<p>Bold, neutral, stand out or blend in- it is your choice! Our Color Icon&trade;Eyeshadow 10-Pan Palette offers four fabulous eyeshadow pans featuring 10 coveted shades in each. Let your inner makeup artist free and design sultry, glimmering or subtle looks that last all day and night!</p>
<p>&nbsp;</p>
<ul>
<li>Powerfully pigmented, butter-soft formula glides on easily</li>
<li>Easy to blend formula - can be used wet or dry hours</li>
<li>Comes in a mix of coveted colors, from shimmery daytime hues to sultry shades for cocktail&mdash;including matte transitional shades for impeccable blending</li>
</ul>",,,,,,
mimcorporation,Color Icon 10 Pan Eyeshadow Palette  (Not A Basic Peach),Piece,1,wet-n-wild,health-and-beauty-1,makeup,,620,0,,,,,"health-and-beauty-1,makeup",5,,10080,250,1,,active,"<p>&nbsp;is a rollercoaster of a palette with highs and lows. I normally spend around 10 minutes per eye (from planning to finished look) when working with a moderate amount of colors and contrasting hues, but I spent a half hour just fussing with the shades to get something half-decent out of it. There was a ton of product underneath my eye after all was said and done. There were a couple of nicer shades in the palette, but it&rsquo;s not a palette I&rsquo;d use again and while cheap, not something I&rsquo;d recommend.</p>",,,,,,
mimcorporation,Color Icon 10 Pan Eyeshadow Palette  (Nude Awakening),Piece,1,wet-n-wild,health-and-beauty-1,makeup,,620,0,,,,,"health-and-beauty-1,makeup",5,,10080,250,1,,active,"<p>Powerfully pigmented, buttery-soft, glides on like a dream. That&rsquo;s what we dreamed up with our reformulated Color Icon eyeshadows. Our reformulated Color Icon hues come in a mix of coveted colors, from shimmery daytime hues to sultry shades for cocktail hours&mdash;including new matte transitional shades for impeccable blending.</p>",,,,,,
mimcorporation,Color Icon 10 Pan Eyeshadow Palette  (Rose In The Air),Piece,1,wet-n-wild,health-and-beauty-1,makeup,,620,0,,,,,"health-and-beauty-1,makeup",5,,10080,250,1,,active,"<p>mix of warm-toned neutrals and a pop of mauve and berry. The mattes performed better than the shimmers, which was a good thing since most of the shades in this palette were matte. They were not as pigmented as marketed, though many shades had buildable pigmentation in practice. The formula had a drier feel overall that improves significantly with primer as the eyeshadows don&rsquo;t start fading until the ninth hour and are a bit more pigmented upon initial application.</p>",,,,,,
mimcorporation,Color Icon Brow Pencil  (Brunettes Do  It Better),Piece,1,wet-n-wild,health-and-beauty-1,makeup,,280,0,,,,,"health-and-beauty-1,makeup",5,,10080,250,1,,active,"<p>Let&rsquo;s have a little brow pow wow, shall we? Any makeup artist will tell you that your brows frame and define your entire face, so you best not neglect &lsquo;em! Give them the special attention they deserve with this versatile dual-ended eyebrow pencil! First, brush those babies in place with the brow comb for perfectly groomed arches. Then, draw them in and set &lsquo;em with this rich, creamy, lightweight color. You are quickly going to find what we know, which is that 1) those makeup artists were so right, and 2) this is the best eyebrow pencil you have ever owned. Truth!</p>",,,,,,
mimcorporation,Color Icon Eye Shadow Collection  (Comfort Zone),Piece,1,wet-n-wild,health-and-beauty-1,makeup,,620,0,,,,,"health-and-beauty-1,makeup",5,,10080,250,1,,active,"<p>Color Icon Eyeshadow Collection by Wet n Wild - Eight times the fun in one convenient package! Wet N Wild Colour Icon collection features eight dynamic and vibrant shades with high pigment and pearl for ultra-impact color! A jet-milled base and silicone technology deliver longwearing, stay-true color for hours of crease-resistant wear. Enriched with Macadamia Oil, each shadow provides continuous moisture that improves the appearance of the delicate eye area. The shade combinations can be used together for a daring statement or individually to bring a pop of color to your look.</p>",,,,,,
mimcorporation,Color Icon Blush  (Apri Coat In The Middle),Piece,1,wet-n-wild,health-and-beauty-1,makeup,,400,0,,,,,"health-and-beauty-1,makeup",5,,10080,250,1,,active,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li><span class=""a-list-item"">Get you perfect acented cheeks with Wet n Wild Color Icon Blush</span></li>
<li><span class=""a-list-item"">Contours &amp; Highlights</span></li>
<li><span class=""a-list-item"">Nylon powders glide on and blend effortlessly</span></li>
<li><span class=""a-list-item"">Stunning shades</span></li>
<li><span class=""a-list-item"">Dermetologically tested</span></li>
</ul>",,,,,,
