business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
citygroup,Teer Advanced Soybean Oil 1 Littre Pouch, Littre ,1,teer,groceries,cooking-items,,159,0,,,,,"groceries,cooking-items,beverages,snacks-and-instant-food,milk-and-dairy,home-appliances,",5,,,100,1,,active,"<p>TEER Advanced Soybean Oil is one of the largest brands in the premium segment of refined oil consumer packs. The top graded imported crude oil goes thorough world class refining process to ensure healthy cooking without cutting back on flavor and taste. TEER offers the goodness of vitamin A, D and E and Triple power of Omega 3,6,9 which makes it the ideal choice for people looking for a healthy lifestyle.</p>",,,,,,
citygroup,Teer Advanced Soybean Oil 1 Littre Bottle, Littre ,1,teer,groceries,cooking-items,,160,0,,,,,"groceries,cooking-items,beverages,snacks-and-instant-food,milk-and-dairy,home-appliances,",5,,,100,1,,active,"<p>TEER Advanced Soybean Oil is one of the largest brands in the premium segment of refined oil consumer packs. The top graded imported crude oil goes thorough world class refining process to ensure healthy cooking without cutting back on flavor and taste. TEER offers the goodness of vitamin A, D and E and Triple power of Omega 3,6,9 which makes it the ideal choice for people looking for a healthy lifestyle.</p>",,,,,,
citygroup,Teer Advanced Soybean Oil 2 Littre Bottle, Littre ,2,teer,groceries,cooking-items,,318,0,,,,,"groceries,cooking-items,beverages,snacks-and-instant-food,milk-and-dairy,home-appliances,",5,,,100,1,,active,"<p>TEER Advanced Soybean Oil is one of the largest brands in the premium segment of refined oil consumer packs. The top graded imported crude oil goes thorough world class refining process to ensure healthy cooking without cutting back on flavor and taste. TEER offers the goodness of vitamin A, D and E and Triple power of Omega 3,6,9 which makes it the ideal choice for people looking for a healthy lifestyle.</p>",,,,,,
citygroup,Teer Advanced Soybean Oil 3 Littre Bottle, Littre ,3,teer,groceries,cooking-items,,475,0,,,,,"groceries,cooking-items,beverages,snacks-and-instant-food,milk-and-dairy,home-appliances,",5,,,100,1,,active,"<p>TEER Advanced Soybean Oil is one of the largest brands in the premium segment of refined oil consumer packs. The top graded imported crude oil goes thorough world class refining process to ensure healthy cooking without cutting back on flavor and taste. TEER offers the goodness of vitamin A, D and E and Triple power of Omega 3,6,9 which makes it the ideal choice for people looking for a healthy lifestyle.</p>",,,,,,
citygroup,Teer Advanced Soybean Oil 5 Littre Bottle, Littre ,5,teer,groceries,cooking-items,,760,0,,,,,"groceries,cooking-items,beverages,snacks-and-instant-food,milk-and-dairy,home-appliances,",5,,,100,1,,active,"<p>TEER Advanced Soybean Oil is one of the largest brands in the premium segment of refined oil consumer packs. The top graded imported crude oil goes thorough world class refining process to ensure healthy cooking without cutting back on flavor and taste. TEER offers the goodness of vitamin A, D and E and Triple power of Omega 3,6,9 which makes it the ideal choice for people looking for a healthy lifestyle.</p>",,,,,,
citygroup,Teer Advanced Soybean Oil 8 Littre Bottle, Littre ,8,teer,groceries,cooking-items,,1250,0,,,,,"groceries,cooking-items,beverages,snacks-and-instant-food,milk-and-dairy,home-appliances,",5,,,100,1,,active,"<p>TEER Advanced Soybean Oil is one of the largest brands in the premium segment of refined oil consumer packs. The top graded imported crude oil goes thorough world class refining process to ensure healthy cooking without cutting back on flavor and taste. TEER offers the goodness of vitamin A, D and E and Triple power of Omega 3,6,9 which makes it the ideal choice for people looking for a healthy lifestyle.</p>",,,,,,
citygroup,Teer Canola Oil 1 Littre Bottle, Littre ,1,teer,groceries,cooking-items,,178,0,,,,,"groceries,cooking-items,beverages,snacks-and-instant-food,milk-and-dairy,home-appliances,",5,,,100,1,,active,"<p>TEER Advanced Soybean Oil is one of the largest brands in the premium segment of refined oil consumer packs. The top graded imported crude oil goes thorough world class refining process to ensure healthy cooking without cutting back on flavor and taste. TEER offers the goodness of vitamin A, D and E and Triple power of Omega 3,6,9 which makes it the ideal choice for people looking for a healthy lifestyle.</p>",,,,,,
citygroup,Teer Canola Oil 2 Littre Bottle, Littre ,2,teer,groceries,cooking-items,,354,0,,,,,"groceries,cooking-items,beverages,snacks-and-instant-food,milk-and-dairy,home-appliances,",5,,,100,1,,active,"<p>TEER Advanced Soybean Oil is one of the largest brands in the premium segment of refined oil consumer packs. The top graded imported crude oil goes thorough world class refining process to ensure healthy cooking without cutting back on flavor and taste. TEER offers the goodness of vitamin A, D and E and Triple power of Omega 3,6,9 which makes it the ideal choice for people looking for a healthy lifestyle.</p>",,,,,,
citygroup,Teer Canola Oil 5 Littre Bottle, Littre ,5,teer,groceries,cooking-items,,875,0,,,,,"groceries,cooking-items,beverages,snacks-and-instant-food,milk-and-dairy,home-appliances,",5,,,100,1,,active,"<p>TEER Advanced Soybean Oil is one of the largest brands in the premium segment of refined oil consumer packs. The top graded imported crude oil goes thorough world class refining process to ensure healthy cooking without cutting back on flavor and taste. TEER offers the goodness of vitamin A, D and E and Triple power of Omega 3,6,9 which makes it the ideal choice for people looking for a healthy lifestyle.</p>",,,,,,
citygroup,Teer Mustard oil 100 ml Bottle,	Mililiter,100,teer,groceries,cooking-items,,35,0,,,,,"groceries,cooking-items,beverages,snacks-and-instant-food,milk-and-dairy,home-appliances,",5,,,100,1,,active,"<p>TEER is the first branded mustard oil in Bangladesh. This oil is usually extracted from the first press of finest quality mustard seeds using GHANI, a traditional cold press system. In this process, seeds are crushed at low temperature so natural properties, antioxidants and essential micro nutrients are retained in the oil. The natural pungency and aroma spice up pickle making and cooking.</p>",,,,,,
citygroup,Teer Mustard oil 250ml Bottle,	Mililiter,250,teer,groceries,cooking-items,,80,0,,,,,"groceries,cooking-items,beverages,snacks-and-instant-food,milk-and-dairy,home-appliances,",5,,,100,1,,active,"<p>TEER is the first branded mustard oil in Bangladesh. This oil is usually extracted from the first press of finest quality mustard seeds using GHANI, a traditional cold press system. In this process, seeds are crushed at low temperature so natural properties, antioxidants and essential micro nutrients are retained in the oil. The natural pungency and aroma spice up pickle making and cooking.</p>",,,,,,
